2024-09-30 12:35:06 info: Congratulations, your extension "Embold" is now active!
2024-09-30 12:35:06 info: tempDirectory : /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-09-30 12:35:07 error: SQLITE_ERROR: no such table: issues
2024-09-30 12:35:07 error: SQLITE_ERROR: no such table: issues
2024-09-30 12:35:07 error: SQLITE_ERROR: no such table: issues
2024-09-30 12:35:17 info: Extraction complete for source: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/resources/embold-scanner-archive.zip, destination: /Users/pedriito/.vscode/extensions/embold-vscode.embold-0.1.8/temp
2024-09-30 12:35:17 info: Extension installed on machine OS : darwin
2024-09-30 12:35:17 info: Fetched the issues from DB
2024-09-30 12:35:17 info: Embold extension version response:{"hasSupport":false,"version":"0.1.6","changeNotes":"<div> <p>Release Date: 09 Oct, 2023 <br><span>Bug fixes and improvements.</span></p> </div>"}
2024-09-30 12:35:17 info: Current installed embold extension version : 0.1.8
2024-09-30 12:35:17 info: Latest embold extension version on marketplace : 0.1.6
2024-09-30 12:35:18 info: Java version installed on machine : 
openjdk version "19.0.2" 2023-01-17
OpenJDK Runtime Environment (build 19.0.2+7-44)
OpenJDK 64-Bit Server VM (build 19.0.2+7-44, mixed mode, sharing)

2024-09-30 12:35:18 info: Java installed on machine.
2024-09-30 12:35:51 info: Row(s) deleted
2024-09-30 13:53:20 info: Row(s) deleted
2024-09-30 14:00:24 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:00:33 info: Row(s) deleted
2024-09-30 14:05:31 info: Row(s) deleted
2024-09-30 14:13:56 info: Row(s) deleted
2024-09-30 14:15:57 info: Row(s) deleted
2024-09-30 14:24:38 info: Row(s) deleted
2024-09-30 15:25:02 info: Row(s) deleted
2024-09-30 15:56:28 info: Row(s) deleted
2024-09-30 18:30:55 info: Row(s) deleted
2024-10-01 05:08:31 info: Row(s) deleted
2024-10-01 09:19:39 info: Row(s) deleted
2024-10-01 09:59:28 info: Row(s) deleted
2024-10-01 15:24:54 info: Row(s) deleted
2024-10-01 16:04:06 info: Row(s) deleted
2024-10-01 18:34:51 info: Row(s) deleted
2024-10-02 13:16:06 info: Row(s) deleted
2024-10-02 13:16:09 info: Row(s) deleted
2024-10-04 15:53:36 info: Row(s) deleted
2024-10-04 15:53:52 info: Row(s) deleted
2024-10-04 15:54:34 info: Row(s) deleted
2024-10-04 15:56:12 info: Row(s) deleted
2024-10-04 15:56:36 info: Row(s) deleted
